Distribuição dos casos de dengue  autóctones segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DRS;;GVE;;Região de Saúde;Município;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350150 Alvinlândia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350160 Americana;3;2;1;8;7;13;19;22;38;60;144;188;209;306;343;447;369;461;583;566;262;179;113;76;31;42;16;11;5;3;0;0;1;2;0;1;1;0;0;5;2;1;3;2;2;3;2;0;2;3;3;3;4563
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350170 Américo Brasiliense;4;5;12;22;37;87;103;120;74;100;157;147;192;192;171;183;145;148;148;81;70;42;5;6;2;2;6;4;0;0;1;1;2;0;2;0;1;3;0;0;0;0;0;1;2;1;0;0;0;0;0;1;2280
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350180 Américo de Campos;0;1;0;0;0;1;1;2;2;2;0;3;1;3;2;3;2;2;7;1;7;6;10;11;4;6;4;2;4;1;3;5;2;3;1;2;4;3;3;6;6;4;13;14;14;13;21;25;21;21;34;25;331
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350190 Amparo;0;0;0;0;0;0;0;0;1;3;3;2;2;5;4;8;5;3;4;6;6;0;1;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;62
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;350200 Analândia;0;0;0;0;0;0;0;0;0;4;1;1;1;0;0;1;2;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;350210 Andradina;248;326;288;260;236;175;148;123;114;136;141;141;153;157;216;171;182;157;193;173;92;65;60;53;48;51;21;17;5;7;3;2;7;6;1;5;11;2;4;6;1;4;1;5;5;11;7;10;2;5;10;6;4271
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350220 Angatuba;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350230 Anhembi;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350240 Anhumas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;9
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350250 Aparecida;0;0;0;0;1;0;0;0;0;0;1;6;4;4;3;3;3;10;5;15;7;1;1;1;2;0;0;1;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;2;4;2;3;2;87
15;São José do Rio Preto;XXX;JALES;35153;JALES;350260 Aparecida d'Oeste;0;0;0;0;0;0;0;0;1;5;4;2;1;0;2;1;2;5;1;1;3;1;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
