Distribuição dos casos de dengue  autóctones segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DRS;;GVE;;Região de Saúde;Município;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350640 Bilac;12;17;33;57;91;105;83;83;48;28;12;20;22;12;10;11;15;19;15;24;22;9;3;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;757
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350650 Birigui;6;9;12;42;63;91;105;113;174;219;329;352;534;490;623;756;626;576;514;576;405;306;301;224;191;146;37;18;13;17;9;5;3;5;6;2;3;4;0;0;0;0;0;3;2;1;4;2;1;4;4;3;7929
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350660 Biritiba-Mirim;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;8;23;32;20;21;9;6;2;3;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;142
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350670 Boa Esperança do Sul;0;0;0;0;1;2;6;8;10;11;14;17;17;24;35;43;38;40;33;33;26;14;7;5;3;7;4;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;406
6;Bauru;XV;BAURU;35064;JAU;350680 Bocaina;0;0;0;0;0;0;0;1;0;1;2;0;3;14;6;7;16;20;12;9;6;2;5;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;114
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350690 Bofete;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350700 Boituva;0;0;0;0;0;0;0;3;1;6;1;20;22;15;22;24;31;40;37;18;24;10;6;1;5;6;1;3;1;0;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;303
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350710 Bom Jesus dos Perdões;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350715 Bom Sucesso de Itararé;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Marília;XIII;ASSIS;35092;ASSIS;350720 Borá;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
6;Bauru;XV;BAURU;35064;JAU;350730 Boracéia;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;1;0;2;9;0;2;4;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
3;Araraquara;XII;ARARAQUARA;35032;CENTRO OESTE DO DRS III;350740 Borborema;0;0;0;0;0;0;1;0;2;8;6;14;33;40;52;73;72;67;59;43;55;26;9;3;2;2;1;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;575
6;Bauru;XV;BAURU;35062;BAURU;350745 Borebi;0;0;0;0;0;0;0;0;0;0;0;0;2;5;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350750 Botucatu;1;0;0;0;0;0;0;1;0;1;4;9;2;3;2;3;5;1;9;4;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;56
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350760 Bragança Paulista;0;1;0;0;0;1;0;1;0;0;0;1;0;1;2;1;4;2;1;1;3;4;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;1;1;0;1;0;0;0;0;0;34
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350770 Braúna;0;0;0;0;2;3;0;0;0;1;3;1;1;1;5;4;9;6;6;5;1;2;4;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350775 Brejo Alegre;0;0;0;0;0;0;0;0;1;0;2;3;1;1;0;0;0;0;3;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350780 Brodósqui;7;20;33;44;36;110;68;89;70;56;36;54;45;58;40;70;62;64;65;52;24;6;6;9;6;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1141
6;Bauru;XV;BAURU;35064;JAU;350790 Brotas;0;0;0;1;2;7;4;2;5;16;14;18;36;54;27;36;28;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;262
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350800 Buri;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;5;7;7;7;5;5;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350810 Buritama;0;0;0;1;1;6;1;5;4;7;1;16;21;13;19;20;35;36;44;53;48;47;43;41;43;44;25;22;10;7;10;11;2;6;8;3;4;7;7;4;5;2;3;6;5;5;3;3;5;1;4;7;724
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;350820 Buritizal;9;6;8;10;24;22;12;14;19;3;5;2;2;3;1;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;2;0;0;154
6;Bauru;XV;BAURU;35062;BAURU;350830 Cabrália Paulista;0;0;0;0;0;1;0;0;0;0;1;3;2;1;2;2;3;4;1;3;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
7;Campinas;XVII;CAMPINAS;35073;JUNDIAÍ;350840 Cabreúva;0;1;1;0;0;1;0;0;1;0;2;1;1;2;0;2;1;3;5;4;2;2;3;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;38
17;Taubaté;XXVII;SÃO JOSÉ DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;350850 Caçapava;0;0;0;0;1;2;0;2;2;3;10;17;9;9;33;36;38;41;41;30;61;46;37;23;24;14;10;6;2;6;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;508
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350860 Cachoeira Paulista;0;0;0;0;0;1;1;0;0;0;2;2;3;1;4;4;21;9;9;8;19;6;3;9;5;11;3;3;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;132
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35143;RIO PARDO;350870 Caconde;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
6;Bauru;XV;BAURU;35065;LINS;350880 Cafelândia;0;0;0;0;1;0;3;5;2;2;8;6;7;2;8;16;20;22;37;24;20;17;20;14;10;8;7;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350890 Caiabu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;14;19;22;12;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350900 Caieiras;0;0;0;0;0;1;0;0;0;1;2;2;4;3;1;1;3;5;7;7;8;5;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;57
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;350910 Caiuá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;3;2;2;7;5;6;5;1;4;0;0;0;1;3;1;0;4;2;0;2;0;0;0;0;1;0;0;0;1;1;2;1;16;9;17;102
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350920 Cajamar;0;0;0;0;0;0;0;0;0;0;0;1;3;4;2;1;2;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;20
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;350925 Cajati;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;6;3;0;4;0;1;1;0;1;1;1;0;1;1;1;0;0;1;3;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;3;35
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350930 Cajobi;0;0;0;0;0;1;1;4;0;1;4;3;9;4;9;14;23;28;31;35;33;19;9;13;9;6;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350940 Cajuru;0;0;0;0;0;0;1;4;0;8;3;3;7;4;4;1;1;3;1;0;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;49
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350945 Campina do Monte Alegre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350950 Campinas;8;19;5;26;24;64;106;166;220;319;564;1.035;1.534;1.697;2.085;2.194;2.607;2.369;2.615;2.441;1.829;1.283;855;666;465;402;197;106;82;55;53;27;12;12;9;12;15;11;23;15;4;7;9;3;5;2;2;7;12;10;3;10;26301
7;Campinas;XVII;CAMPINAS;35073;JUNDIAÍ;350960 Campo Limpo Paulista;0;0;0;0;1;0;1;3;1;3;5;3;8;6;9;11;14;18;13;9;13;5;3;4;3;3;1;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142
17;Taubaté;XXXIII;TAUBATÉ;35174;V. PARAÍBA-REG. SERRANA;350970 Campos do Jordão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350980 Campos Novos Paulista;0;0;0;0;0;0;0;0;1;0;1;1;1;2;3;0;2;2;4;14;8;12;5;3;13;7;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;350990 Cananéia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350995 Canas;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3
9;Marília;XIII;ASSIS;35092;ASSIS;351000 Cândido Mota;0;0;0;0;0;1;0;0;0;0;0;0;1;5;3;1;7;21;17;24;21;25;12;8;22;14;13;12;5;3;5;0;1;3;0;0;2;2;1;1;0;0;0;1;0;0;0;0;0;0;3;1;235
3;Araraquara;XII;ARARAQUARA;35033;NORTE DO DRS III;351010 Cândido Rodrigues;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;7;0;0;4;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
9;Marília;XIII;ASSIS;35094;OURINHOS;351015 Canitar;0;0;0;0;0;0;0;3;1;0;5;9;4;5;3;1;4;1;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;351020 Capão Bonito;0;0;0;0;0;0;0;0;1;1;0;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;351030 Capela do Alto;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;4;4;3;2;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;351040 Capivari;0;0;1;0;1;4;1;4;2;2;2;8;5;16;13;19;17;19;31;53;37;28;20;11;9;7;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;317
17;Taubaté;XXVIII;CARAGUATATUBA;35173;LITORAL NORTE;351050 Caraguatatuba;0;1;0;1;1;4;8;15;14;11;17;36;75;78;248;258;253;244;325;328;258;195;204;135;140;122;65;54;28;18;30;40;8;16;3;3;2;4;0;3;1;0;2;1;1;0;0;2;0;0;1;0;3253
1;São Paulo;X;OSASCO;35014;ROTA DOS BANDEIRANTES;351060 Carapicuíba;0;1;1;0;0;3;1;7;12;12;32;36;60;95;159;210;196;274;294;337;268;128;66;26;24;20;5;5;2;4;3;1;1;1;2;2;3;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;2296
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351070 Cardoso;3;5;9;11;14;17;28;17;5;10;15;27;27;48;45;57;25;36;45;18;17;12;6;8;4;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35143;RIO PARDO;351080 Casa Branca;0;0;0;0;1;2;0;4;7;6;5;2;4;4;9;34;42;42;61;54;15;20;13;9;8;8;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;2;2;1;4;373
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;351090 Cássia dos Coqueiros;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;351100 Castilho;28;24;47;90;71;105;120;60;28;30;33;33;47;47;35;33;37;50;81;61;42;30;17;7;2;3;4;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1173
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351110 Catanduva;4;3;5;12;14;27;29;26;24;43;40;60;107;85;125;136;149;134;191;243;195;143;158;114;84;74;59;29;21;20;19;14;8;8;4;6;6;8;10;12;27;18;29;36;47;45;50;54;75;97;119;137;3183
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351120 Catiguá;0;0;0;1;8;14;11;5;5;17;9;30;36;40;38;28;11;11;11;13;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351130 Cedral;2;1;0;4;8;11;27;23;25;11;31;35;35;45;63;41;39;40;56;38;37;14;13;8;13;3;1;0;0;3;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;635
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;351140 Cerqueira César;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;351150 Cerquilho;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;2;5;2;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;351160 Cesário Lange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;351170 Charqueada;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;1;1;0;0;0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351190 Clementina;0;0;0;0;3;0;0;4;0;4;4;0;2;3;6;0;2;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;37
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351200 Colina;0;1;2;0;0;1;1;3;8;5;4;7;11;32;16;19;22;10;10;14;9;5;0;1;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351210 Colômbia;1;1;1;10;6;7;14;3;3;10;4;5;10;11;8;3;5;7;43;44;35;28;25;14;8;7;8;8;6;4;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;343
10;Piracicaba;XX;PIRACICABA;35101;ARARAS;351220 Conchal;1;0;0;0;1;0;0;0;0;1;0;0;2;3;4;5;4;9;11;11;12;14;8;5;2;3;2;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;6;1;8;12;7;28;15;22;28;232
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;351230 Conchas;0;2;2;0;0;0;2;2;0;1;0;1;0;2;2;0;1;2;2;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;26
10;Piracicaba;XX;PIRACICABA;35102;LIMEIRA;351240 Cordeirópolis;0;0;0;0;1;0;0;0;3;2;1;9;9;5;12;8;8;9;13;15;9;5;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;120
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351250 Coroados;1;0;2;1;4;2;8;4;9;3;7;4;7;7;10;10;6;6;0;0;0;2;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;351260 Coronel Macedo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;351270 Corumbataí;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;351280 Cosmópolis;0;0;0;1;0;0;0;0;0;2;0;6;5;11;9;13;7;5;7;6;9;10;1;0;3;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351290 Cosmorama;0;2;0;2;3;11;18;5;4;2;8;6;11;6;1;1;3;5;4;2;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;100
1;São Paulo;X;OSASCO;35013;MANANCIAIS;351300 Cotia;0;1;0;0;0;0;0;1;2;0;0;0;1;2;0;5;2;5;6;4;6;2;4;1;1;0;1;2;1;3;1;1;1;0;0;0;0;0;0;1;2;0;2;0;0;0;1;2;1;0;0;0;62
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35132;AQUÍFERO GUARANI;351310 Cravinhos;0;0;0;2;1;4;5;3;3;2;3;5;8;25;21;48;41;29;31;32;18;17;8;9;6;6;6;2;2;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;343
8;Franca;XVIII;FRANCA;35081;TRÊS COLINAS;351320 Cristais Paulista;0;0;0;0;0;0;2;2;2;4;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
9;Marília;XIII;ASSIS;35092;ASSIS;351330 Cruzália;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;3;4;10;15;6;3;7;13;8;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351340 Cruzeiro;0;0;0;2;0;0;0;0;0;0;1;9;6;10;10;13;25;21;40;31;26;33;25;5;8;9;3;4;2;1;0;0;0;0;0;0;0;0;0;2;1;0;1;1;1;1;2;0;5;1;5;4;308
4;Baixada Santista;XXV;SANTOS;35041;BAIXADA SANTISTA;351350 Cubatão;0;0;1;0;0;1;0;0;0;0;3;0;0;1;2;3;1;1;1;0;3;5;6;8;9;2;9;3;7;3;4;5;1;1;2;2;2;0;0;1;3;1;1;0;1;0;3;1;0;0;0;0;97
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351360 Cunha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3;Araraquara;XII;ARARAQUARA;35034;CORAÇÃO DO DRS III;351370 Descalvado;0;0;0;0;1;1;0;0;0;0;1;1;4;4;6;4;2;2;3;3;2;4;1;1;0;3;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
1;São Paulo;VII;SANTO ANDRÉ;35015;GRANDE ABC;351380 Diadema;0;1;1;0;1;3;4;5;7;6;10;16;18;21;25;31;36;57;59;33;39;13;20;14;11;8;9;2;2;1;2;4;0;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;466
15;São José do Rio Preto;XXX;JALES;35153;JALES;351385 Dirce Reis;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;2;3;4;3;1;5;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;29
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35143;RIO PARDO;351390 Divinolândia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
3;Araraquara;XII;ARARAQUARA;35033;NORTE DO DRS III;351400 Dobrada;0;0;0;2;0;2;1;4;2;7;9;26;28;36;40;43;34;21;23;19;25;14;12;6;7;6;7;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;378
6;Bauru;XV;BAURU;35064;JAU;351410 Dois Córregos;0;0;0;0;0;0;0;0;0;1;0;6;4;2;6;5;0;4;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
15;São José do Rio Preto;XXX;JALES;35153;JALES;351420 Dolcinópolis;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;2;0;0;0;1;0;0;0;0;0;0;21
3;Araraquara;XII;ARARAQUARA;35034;CORAÇÃO DO DRS III;351430 Dourado;0;0;1;1;0;0;0;1;2;1;3;0;0;0;2;4;1;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;22
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351440 Dracena;2;3;5;5;9;11;16;15;16;28;28;44;62;60;55;52;38;56;50;47;35;29;18;33;17;10;5;5;9;6;6;5;5;3;2;3;3;4;1;3;2;4;2;2;1;3;2;3;2;3;3;7;838
6;Bauru;XV;BAURU;35062;BAURU;351450 Duartina;0;0;0;0;6;13;21;35;9;17;18;16;18;6;3;3;5;3;0;5;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;183
